From state 71:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 72:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 73:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 74:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 75:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 76:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 77:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 78:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 79:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 80:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 81:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 82:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 83:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 84:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 85:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 86:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 87:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 88:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 89:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 90:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 91:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 92:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 93:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 94:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 95:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 96:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 97:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 98:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 99:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 100:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 101:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 102:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 103:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 104:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 105:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 106:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 107:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 108:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 109:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 110:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 111:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 112:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 113:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 114:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 115:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 116:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 117:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 118:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 119:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 120:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 121:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 122:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 123:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 124:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
